Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
1304-NECVQ,Female,69,No,Yes,No,No,0
5655-JSMZM,Male,66,No,Yes,No,No,0
4505-EXZHB,Female,75,No,Yes,No,No,0
8972-HJWNV,Female,75,No,Yes,Yes,No,0
2860-RANUS,Female,67,No,Yes,No,No,0
0406-BPDVR,Female,75,No,Yes,Yes,No,0
5276-KQWHG,Female,74,No,Yes,No,No,0
9667-EQRXU,Female,74,No,Yes,No,No,0
0946-CLJTI,Male,67,No,Yes,Yes,No,0
0324-BRPCJ,Female,74,No,Yes,Yes,No,0
9189-JWSHV,Female,69,No,Yes,Yes,No,0
0576-WNXXC,Male,70,No,Yes,Yes,No,0
5482-PLVPE,Female,79,No,Yes,No,No,0
4902-OHLSK,Female,76,No,Yes,No,No,0
0495-ZBNGW,Male,78,No,Yes,Yes,No,0
2357-COQEK,Female,79,No,Yes,No,No,0
2034-CGRHZ,Male,73,No,Yes,No,No,0
9360-AHGNL,Female,74,No,Yes,Yes,No,0
5485-WUYWF,Male,73,No,Yes,No,No,0
2632-UCGVD,Male,71,No,Yes,Yes,No,0
6425-YQLLO,Female,68,No,Yes,Yes,No,0
2091-RFFBA,Female,70,No,Yes,No,No,0
6899-PPEEA,Female,66,No,Yes,No,No,0
4597-NUCQV,Male,65,No,Yes,No,No,0
3754-DXMRT,Male,78,No,Yes,No,No,0
7130-VTEWQ,Female,74,No,Yes,No,No,0
7903-CMPEY,Male,78,No,Yes,Yes,No,0
1704-NRWYE,Female,79,No,Yes,No,No,0
7481-ATQQS,Female,76,No,Yes,No,No,0
0023-HGHWL,Male,67,No,Yes,No,No,0
1792-UXAFY,Female,80,No,Yes,No,No,0
6161-UUUTA,Male,77,No,Yes,No,No,0
6543-XRMYR,Female,73,No,Yes,No,No,0
2479-BRAMR,Male,74,No,Yes,Yes,No,0
3714-JTVOV,Female,76,No,Yes,Yes,No,0
8580-QVLOC,Female,78,No,Yes,Yes,No,0
2012-NWRPA,Female,78,No,Yes,Yes,No,0
8808-ELEHO,Male,66,No,Yes,No,No,0
9058-CBREO,Female,69,No,Yes,No,No,0
8063-GBATB,Female,74,No,Yes,No,No,0
1069-XAIEM,Female,68,No,Yes,No,No,0
6987-XQSJT,Female,68,No,Yes,No,No,0
0722-TROQR,Female,68,No,Yes,No,No,0
6402-ZFPPI,Female,75,No,Yes,No,No,0
9965-YOKZB,Male,73,No,Yes,No,No,0
0504-HHAPI,Female,72,No,Yes,No,No,0
3791-LGQCY,Female,68,No,Yes,Yes,No,0
8166-ZZTFS,Female,74,No,Yes,Yes,No,0
2956-GGUCQ,Male,71,No,Yes,Yes,No,0
2778-OCLGR,Male,75,No,Yes,Yes,No,0
7067-KSAZT,Female,66,No,Yes,Yes,No,0
9300-AGZNL,Male,76,No,Yes,No,No,0
1112-CUNAO,Female,67,No,Yes,No,No,0
3389-YGYAI,Female,79,No,Yes,No,No,0
3070-DVEYC,Male,78,No,Yes,No,No,0
5707-ORNDZ,Male,79,No,Yes,No,No,0
8696-JKZNU,Female,78,No,Yes,No,No,0
2055-PDADH,Female,71,No,Yes,No,No,0
2302-ANTDP,Female,76,No,Yes,Yes,No,0
5233-GEEAX,Male,65,No,Yes,No,No,0
7137-RYLPP,Male,75,No,Yes,Yes,No,0
3957-LXOLK,Female,75,No,Yes,No,No,0
5281-BUZGT,Male,69,No,Yes,No,No,0
2718-GAXQD,Female,68,No,Yes,Yes,Yes,3
3217-FZDMN,Female,66,No,Yes,No,No,0
7480-QNVZJ,Male,65,No,Yes,No,No,0
7124-UGSUR,Female,77,No,Yes,Yes,No,0
1862-SKORY,Female,66,No,Yes,Yes,No,0
4816-JBHOV,Male,72,No,Yes,No,No,0
3247-ZVOUO,Male,77,No,Yes,Yes,No,0
1268-ASBGA,Female,66,No,Yes,Yes,No,0
4713-LZDRV,Female,80,No,Yes,No,No,0
4325-NFSKC,Male,68,No,Yes,No,No,0
6502-HCJTI,Male,78,No,Yes,Yes,No,0
8258-GSTJK,Male,74,No,Yes,No,No,0
2995-UPRYS,Female,74,No,Yes,Yes,No,0
6686-YPGHK,Male,65,No,Yes,No,No,0
8020-BWHYL,Female,70,No,Yes,No,No,0
6892-XPFPU,Male,70,No,Yes,Yes,No,0
8010-EZLOU,Male,75,No,Yes,No,No,0
8062-YBDOE,Male,70,No,Yes,No,No,0
3672-YITQD,Male,71,No,Yes,Yes,No,0
8988-ECPJR,Female,79,No,Yes,Yes,No,0
3776-EKTKM,Female,79,No,Yes,No,No,0
0643-OKLRP,Female,73,No,Yes,Yes,No,0
9381-NDKME,Female,74,No,Yes,Yes,No,0
8327-LZKAS,Female,80,No,Yes,Yes,No,0
1075-BGWOH,Male,69,No,Yes,Yes,No,0
8485-GJCDN,Female,71,No,Yes,No,No,0
6029-WTIPC,Male,73,No,Yes,No,No,0
3317-HRTNN,Female,79,No,Yes,No,No,0
5569-OUICF,Female,67,No,Yes,Yes,No,0
5747-PMBSQ,Male,72,No,Yes,Yes,No,0
2982-IHMFT,Female,75,No,Yes,No,No,0
5143-EGQFK,Female,76,No,Yes,No,No,0
6168-WFVVF,Female,69,No,Yes,No,No,0
7450-NWRTR,Male,76,No,Yes,No,No,0
6005-OBZPH,Female,68,No,Yes,No,No,0
7932-WPTDS,Female,77,No,Yes,Yes,No,0
7000-WCEVQ,Female,67,No,Yes,No,No,0
5959-BELXA,Male,67,No,Yes,No,No,0
2506-TNFCO,Female,76,No,Yes,Yes,No,0
6060-DRTNL,Female,66,No,Yes,No,No,0
8473-VUVJN,Male,80,No,Yes,No,No,0
0196-VULGZ,Female,78,No,Yes,Yes,No,0
1976-CFOCS,Female,69,No,Yes,Yes,No,0
4631-OACRM,Male,78,No,Yes,No,No,0
3755-JBMNH,Male,78,No,Yes,Yes,No,0
6345-ULYRW,Male,68,No,Yes,Yes,No,0
0013-EXCHZ,Female,75,No,Yes,Yes,No,0
5550-VFRLC,Female,70,No,Yes,No,No,0
2657-ALMWY,Female,65,No,Yes,Yes,No,0
6284-AHOOQ,Male,71,No,Yes,No,No,0
2460-FPSYH,Female,72,No,Yes,No,No,0
5028-HTLJB,Male,69,No,Yes,No,No,0
0875-CABNR,Female,70,No,Yes,No,No,0
6982-UQZLY,Female,80,No,Yes,Yes,No,0
0193-ESZXP,Female,73,No,Yes,Yes,No,0
4369-HTUIF,Male,73,No,Yes,No,No,0
5287-QWLKY,Male,79,No,Yes,Yes,No,0
1891-UAWWU,Female,79,No,Yes,Yes,No,0
3096-JRDSO,Female,73,No,Yes,Yes,No,0
2398-YPMUR,Female,77,No,Yes,Yes,No,0
1265-XTECC,Female,68,No,Yes,Yes,No,0
4871-JTKJF,Female,70,No,Yes,No,No,0
1415-YFWLT,Female,68,No,Yes,No,No,0
3500-RMZLT,Female,76,No,Yes,No,No,0
2642-DTVCO,Male,68,No,Yes,No,No,0
1363-TXLSL,Male,80,No,Yes,Yes,No,0
7136-RVDTZ,Male,79,No,Yes,No,No,0
6927-WTFIV,Male,78,No,Yes,No,No,0
3398-ZOUAA,Male,76,No,Yes,Yes,No,0
4844-JJWUY,Female,65,No,Yes,No,No,0
4785-QRJHC,Male,80,No,Yes,Yes,No,0
1965-AKTSX,Female,65,No,Yes,No,No,0
7248-VZQLC,Female,78,No,Yes,No,No,0
0011-IGKFF,Male,78,No,Yes,Yes,No,0
6496-SLWHQ,Male,68,No,Yes,No,No,0
9912-GVSEQ,Female,73,No,Yes,Yes,No,0
5383-MMTWC,Female,75,No,Yes,Yes,No,0
6877-LGWXO,Male,66,No,Yes,Yes,No,0
5167-GBFRE,Male,73,No,Yes,No,No,0
1324-NLTJE,Female,73,No,Yes,No,No,0
5567-WSELE,Male,70,No,Yes,Yes,No,0
6646-VRFOL,Male,74,No,Yes,Yes,No,0
9090-SGQXL,Male,70,No,Yes,Yes,No,0
6595-YGXIT,Male,71,No,Yes,No,No,0
9835-ZIITK,Male,66,No,Yes,Yes,No,0
5649-TJHOV,Male,68,No,Yes,Yes,No,0
9253-QXKBE,Male,73,No,Yes,Yes,No,0
8775-LHDJH,Female,77,No,Yes,Yes,No,0
3097-NQYSN,Male,73,No,Yes,Yes,No,0
3565-UNOCC,Female,65,No,Yes,Yes,No,0
9190-MFJLN,Male,65,No,Yes,No,No,0
1095-JUDTC,Female,78,No,Yes,No,No,0
5385-SUIRI,Male,69,No,Yes,Yes,No,0
6328-ZPBGN,Female,67,No,Yes,No,No,0
2856-NNASM,Male,74,No,Yes,No,No,0
6769-DYBQN,Male,77,No,Yes,No,No,0
2446-BEGGB,Female,79,No,Yes,No,No,0
1496-GGSUK,Female,68,No,Yes,No,No,0
3296-SILRA,Female,76,No,Yes,Yes,No,0
5180-UCIIQ,Male,80,No,Yes,Yes,Yes,2
1977-STDKI,Female,72,No,Yes,No,No,0
5813-UECBU,Male,78,No,Yes,No,No,0
4342-HENTK,Female,67,No,Yes,No,No,0
1597-LHYNC,Female,74,No,Yes,No,No,0
8651-ENBZX,Female,68,No,Yes,No,No,0
9286-DOJGF,Female,66,No,Yes,Yes,No,0
9661-MHUMO,Male,71,No,Yes,Yes,Yes,1
8884-ADFVN,Male,65,No,Yes,Yes,No,0
2720-WGKHP,Male,65,No,Yes,No,No,0
9776-CLUJA,Female,69,No,Yes,Yes,No,0
3551-HUAZH,Male,68,No,Yes,No,No,0
8634-MPHTR,Male,68,No,Yes,Yes,No,0
2474-BRUCM,Male,76,No,Yes,Yes,No,0
0616-ATFGB,Male,74,No,Yes,Yes,No,0
7235-NXZCP,Male,79,No,Yes,No,No,0
6661-HBGWL,Female,69,No,Yes,No,No,0
9317-WZPGV,Female,74,No,Yes,No,No,0
3621-CEOVK,Female,71,No,Yes,Yes,No,0
7632-MNYOY,Male,69,No,Yes,No,No,0
9248-OJYKK,Male,74,No,Yes,No,No,0
3398-FSHON,Female,79,No,Yes,No,No,0
3319-DWOEP,Male,69,No,Yes,Yes,No,0
0818-OCPZO,Male,80,No,Yes,No,No,0
1389-CXMLU,Male,65,No,Yes,No,No,0
5561-NWEVX,Female,78,No,Yes,Yes,No,0
2272-QAGFO,Female,75,No,Yes,No,No,0
3768-NLUBH,Male,73,No,Yes,Yes,No,0
7359-SSBJK,Female,80,No,Yes,No,No,0
0685-MLYYM,Female,74,No,Yes,No,No,0
7957-RYHQD,Female,65,No,Yes,No,No,0
6230-BSUXY,Female,71,No,Yes,No,No,0
3990-QYKBE,Male,74,No,Yes,Yes,No,0
9274-CNFMO,Male,76,No,Yes,Yes,No,0
3005-NFMTA,Male,73,No,Yes,No,No,0
5389-FFVKB,Male,71,No,Yes,Yes,No,0
8444-WRIDW,Female,72,No,Yes,No,No,0
5868-YWPDW,Male,76,No,Yes,Yes,No,0
1273-MTETI,Female,69,No,Yes,No,No,0
5480-HPRRX,Female,80,No,Yes,No,No,0
7234-FECYN,Female,78,No,Yes,No,No,0
1400-MMYXY,Male,71,No,Yes,Yes,No,0
7142-HVGBG,Male,73,No,Yes,Yes,No,0
1564-NTYXF,Female,79,No,Yes,No,No,0
0886-QGENL,Female,72,No,Yes,Yes,No,0
8739-WWKDU,Male,69,No,Yes,No,No,0
8685-WHQPW,Female,79,No,Yes,No,No,0
7240-FQLHE,Female,68,No,Yes,Yes,No,0
6664-FPDAC,Female,77,No,Yes,No,No,0
0786-VSSUD,Male,68,No,Yes,No,No,0
6583-QGCSI,Female,79,No,Yes,Yes,No,0
1980-KXVPM,Female,68,No,Yes,No,No,0
0723-DRCLG,Female,73,No,Yes,Yes,No,0
6894-LFHLY,Male,79,No,Yes,No,No,0
8361-LTMKD,Male,75,No,Yes,Yes,No,0
3841-NFECX,Female,69,No,Yes,Yes,No,0
4929-XIHVW,Male,79,No,Yes,Yes,No,0
3413-BMNZE,Male,71,No,Yes,No,No,0
8012-SOUDQ,Female,65,No,Yes,No,No,0
6575-SUVOI,Female,65,No,Yes,Yes,No,0
4667-QONEA,Female,72,No,Yes,Yes,No,0
5067-XJQFU,Male,77,No,Yes,Yes,No,0
1891-QRQSA,Male,71,No,Yes,Yes,No,0
2673-CXQEU,Female,73,No,Yes,No,No,0
0191-ZHSKZ,Male,80,No,Yes,No,No,0
2424-WVHPL,Male,79,No,Yes,No,No,0
5386-THSLQ,Female,65,No,Yes,Yes,No,0
2639-UGMAZ,Male,73,No,Yes,No,No,0
3146-MSEGF,Female,71,No,Yes,Yes,No,0
1131-QQZEB,Male,66,No,Yes,Yes,No,0
2504-DSHIH,Male,66,No,Yes,Yes,No,0
9058-HRZSV,Female,77,No,Yes,Yes,No,0
4522-AKYLR,Female,68,No,Yes,No,No,0
0221-WMXNQ,Male,66,No,Yes,No,No,0
5046-NUHWD,Female,69,No,Yes,Yes,No,0
7529-ZDFXI,Male,79,No,Yes,Yes,No,0
3197-ARFOY,Female,67,No,Yes,No,No,0
4716-HHKQH,Male,68,No,Yes,Yes,No,0
3179-GBRWV,Male,79,No,Yes,Yes,No,0
4847-TAJYI,Female,77,No,Yes,No,No,0
6851-WEFYX,Male,73,No,Yes,Yes,No,0
3167-SNQPL,Male,71,No,Yes,Yes,Yes,1
2799-ARNLO,Female,67,No,Yes,Yes,No,0
5701-YVSVF,Female,68,No,Yes,Yes,No,0
5697-GOMBF,Female,75,No,Yes,Yes,Yes,3
2739-CACDQ,Female,79,No,Yes,No,No,0
6035-BXTTY,Female,69,No,Yes,No,No,0
0021-IKXGC,Female,72,No,Yes,No,No,0
4654-DLAMQ,Female,69,No,Yes,Yes,No,0
4115-NZRKS,Female,72,No,Yes,No,No,0
3351-NGXYI,Female,70,No,Yes,No,No,0
8204-YJCLA,Male,78,No,Yes,Yes,No,0
9774-NRNAU,Male,77,No,Yes,Yes,No,0
0224-RLWWD,Female,73,No,Yes,No,No,0
3951-NJCVI,Female,76,No,Yes,Yes,No,0
